team,conf,div
ATL,e,se
BOS,e,a
BRK,e,a
CHI,e,c
CHO,e,se
CLE,e,c
DET,e,c
IND,e,c
MIA,e,se
MIL,e,c
NYK,e,a
ORL,e,se
PHI,e,a
TOR,e,a
WAS,e,se
DAL,w,sw
DEN,w,n
GSW,w,p
HOU,w,sw
LAC,w,p
LAL,w,p
MEM,w,sw
MIN,w,n
NOP,w,sw
OKC,w,n
PHO,w,p
POR,w,n
SAC,w,p
SAS,w,sw
UTA,w,n
